Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
1,1551893526815,06/03/2019 17:32:06,1551893526241,0,06/03/2019 17:32:06,6138,31,task-jgum,,2280235,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,5297.514999983832,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551893535707,06/03/2019 17:32:15,1551893535149,0,06/03/2019 17:32:15,6138,31,task-jgum,,2280235,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,8904.225000005681,/task/29849/3/asset/Dog.mp3,1
3,1551893543681,06/03/2019 17:32:23,1551893543174,0,06/03/2019 17:32:23,6138,31,task-jgum,,2280235,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,8021.674999967217,/task/29849/3/asset/Owl.mp3,0
4,1551893545524,06/03/2019 17:32:25,1551893544997,0,06/03/2019 17:32:24,6138,31,task-jgum,,2280235,5c0e55c7427e7b00013b7cb0,621711,,complete,,5c8003740fa63e001663059f,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1280x720,1280x578,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1821.1250000167638,/task/29849/3/asset/Goat.mp3,0
1,1551893865454,06/03/2019 17:37:45,1551893865237,0,06/03/2019 17:37:45,6138,31,task-jgum,,2280317,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,7436.119999998482,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551893873361,06/03/2019 17:37:53,1551893873205,0,06/03/2019 17:37:53,6138,31,task-jgum,,2280317,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,7937.544999993406,/task/29849/3/asset/Dog.mp3,1
3,1551893882941,06/03/2019 17:38:02,1551893882788,0,06/03/2019 17:38:02,6138,31,task-jgum,,2280317,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,9571.724999987055,/task/29849/3/asset/Owl.mp3,0
4,1551893886070,06/03/2019 17:38:06,1551893885911,0,06/03/2019 17:38:05,6138,31,task-jgum,,2280317,5bcd24135c2b810001dc9756,621725,,complete,,5c8004ee1b962600165d54b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3109.0599999879487,/task/29849/3/asset/Goat.mp3,0
1,1551894028876,06/03/2019 17:40:28,1551894027881,0,06/03/2019 17:40:27,6138,31,task-jgum,,2280348,5c536487b78e9500010dc0a1,621729,,complete,,5c8005472d63590001fd7a4a,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3569,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894033284,06/03/2019 17:40:33,1551894032393,0,06/03/2019 17:40:32,6138,31,task-jgum,,2280348,5c536487b78e9500010dc0a1,621729,,complete,,5c8005472d63590001fd7a4a,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,4501.999999999999,/task/29849/3/asset/Dog.mp3,1
3,1551894036489,06/03/2019 17:40:36,1551894035522,0,06/03/2019 17:40:35,6138,31,task-jgum,,2280348,5c536487b78e9500010dc0a1,621729,,complete,,5c8005472d63590001fd7a4a,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3127,/task/29849/3/asset/Owl.mp3,0
4,1551894039302,06/03/2019 17:40:39,1551894038441,0,06/03/2019 17:40:38,6138,31,task-jgum,,2280348,5c536487b78e9500010dc0a1,621729,,complete,,5c8005472d63590001fd7a4a,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2916.999999999998,/task/29849/3/asset/Goat.mp3,0
1,1551894130353,06/03/2019 17:42:10,1551894129131,0,06/03/2019 17:42:09,6138,31,task-jgum,,2280373,5c655f01755ed200011bf205,621733,,complete,,5c80061b472e4e0012531f32,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4878.375000000233,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894133398,06/03/2019 17:42:13,1551894132154,0,06/03/2019 17:42:12,6138,31,task-jgum,,2280373,5c655f01755ed200011bf205,621733,,complete,,5c80061b472e4e0012531f32,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2979.395000002114,/task/29849/3/asset/Dog.mp3,1
3,1551894135459,06/03/2019 17:42:15,1551894134326,0,06/03/2019 17:42:14,6138,31,task-jgum,,2280373,5c655f01755ed200011bf205,621733,,complete,,5c80061b472e4e0012531f32,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2165.3750000114087,/task/29849/3/asset/Owl.mp3,0
4,1551894137397,06/03/2019 17:42:17,1551894136252,0,06/03/2019 17:42:16,6138,31,task-jgum,,2280373,5c655f01755ed200011bf205,621733,,complete,,5c80061b472e4e0012531f32,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1920.784999994794,/task/29849/3/asset/Goat.mp3,0
1,1551894146251,06/03/2019 17:42:26,1551894147521,-5,06/03/2019 12:42:27,6138,31,task-jgum,,2280375,5b245ce134ffd00001b41c00,621735,,complete,,5c80063ed88a5100169df6b7,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x719,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,10208.160000038333,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894153270,06/03/2019 17:42:33,1551894154607,-5,06/03/2019 12:42:34,6138,31,task-jgum,,2280375,5b245ce134ffd00001b41c00,621735,,complete,,5c80063ed88a5100169df6b7,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x719,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,7080.5700000491925,/task/29849/3/asset/Dog.mp3,0
3,1551894154911,06/03/2019 17:42:34,1551894156252,-5,06/03/2019 12:42:36,6138,31,task-jgum,,2280375,5b245ce134ffd00001b41c00,621735,,complete,,5c80063ed88a5100169df6b7,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x719,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1641.6600000229664,/task/29849/3/asset/Owl.mp3,0
4,1551894156505,06/03/2019 17:42:36,1551894157847,-5,06/03/2019 12:42:37,6138,31,task-jgum,,2280375,5b245ce134ffd00001b41c00,621735,,complete,,5c80063ed88a5100169df6b7,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x719,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1590.8349999808706,/task/29849/3/asset/Goat.mp3,0
1,1551894218580,06/03/2019 17:43:38,1551894255666,0,06/03/2019 17:44:15,6138,31,task-jgum,,2280408,5c4486c38bb6fd000164157d,621734,,complete,,5c80063238b1eb00011e7fc4,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1257x811,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,6728.165000000445,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894221528,06/03/2019 17:43:41,1551894258668,0,06/03/2019 17:44:18,6138,31,task-jgum,,2280408,5c4486c38bb6fd000164157d,621734,,complete,,5c80063238b1eb00011e7fc4,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1257x811,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2998.4299999996438,/task/29849/3/asset/Dog.mp3,1
3,1551894223279,06/03/2019 17:43:43,1551894260436,0,06/03/2019 17:44:20,6138,31,task-jgum,,2280408,5c4486c38bb6fd000164157d,621734,,complete,,5c80063238b1eb00011e7fc4,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1257x811,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1764.884999996866,/task/29849/3/asset/Owl.mp3,0
4,1551894224857,06/03/2019 17:43:44,1551894262036,0,06/03/2019 17:44:22,6138,31,task-jgum,,2280408,5c4486c38bb6fd000164157d,621734,,complete,,5c80063238b1eb00011e7fc4,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1257x811,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1597.8000000031898,/task/29849/3/asset/Goat.mp3,0
1,1551894246514,06/03/2019 17:44:06,1551894244319,0,06/03/2019 17:44:04,6138,31,task-jgum,,2280419,5c66bbd0d0fb37000172fdfe,621738,,complete,,5c800653d8bd0900162bdb23,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1824x1026,1824x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2582,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894250300,06/03/2019 17:44:10,1551894248134,0,06/03/2019 17:44:08,6138,31,task-jgum,,2280419,5c66bbd0d0fb37000172fdfe,621738,,complete,,5c800653d8bd0900162bdb23,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1824x1026,1824x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3809,/task/29849/3/asset/Dog.mp3,1
3,1551894252128,06/03/2019 17:44:12,1551894249982,0,06/03/2019 17:44:09,6138,31,task-jgum,,2280419,5c66bbd0d0fb37000172fdfe,621738,,complete,,5c800653d8bd0900162bdb23,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1824x1026,1824x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1846,/task/29849/3/asset/Owl.mp3,0
4,1551894253508,06/03/2019 17:44:13,1551894251366,0,06/03/2019 17:44:11,6138,31,task-jgum,,2280419,5c66bbd0d0fb37000172fdfe,621738,,complete,,5c800653d8bd0900162bdb23,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1824x1026,1824x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1381,/task/29849/3/asset/Goat.mp3,0
1,1551894419405,06/03/2019 17:46:59,1551894418460,0,06/03/2019 17:46:58,6138,31,task-jgum,,2280477,5c55a6daf0a1fe00017f4756,621749,,complete,,5c8007193585990001e18d14,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x693,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5554,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894424094,06/03/2019 17:47:04,1551894423197,0,06/03/2019 17:47:03,6138,31,task-jgum,,2280477,5c55a6daf0a1fe00017f4756,621749,,complete,,5c8007193585990001e18d14,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x693,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4706,/task/29849/3/asset/Dog.mp3,1
3,1551894443913,06/03/2019 17:47:23,1551894443061,0,06/03/2019 17:47:23,6138,31,task-jgum,,2280477,5c55a6daf0a1fe00017f4756,621749,,complete,,5c8007193585990001e18d14,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x693,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,19856,/task/29849/3/asset/Owl.mp3,0
4,1551894445413,06/03/2019 17:47:25,1551894444571,0,06/03/2019 17:47:24,6138,31,task-jgum,,2280477,5c55a6daf0a1fe00017f4756,621749,,complete,,5c8007193585990001e18d14,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x693,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1503,/task/29849/3/asset/Goat.mp3,0
1,1551894580682,06/03/2019 17:49:40,1551894580431,0,06/03/2019 17:49:40,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4843.070000002626,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894584164,06/03/2019 17:49:44,1551894584132,0,06/03/2019 17:49:44,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3691.7300000204705,/task/29849/3/asset/Dog.mp3,1
3,1551894587634,06/03/2019 17:49:47,1551894587613,0,06/03/2019 17:49:47,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3476.624999952037,/task/29849/3/asset/Owl.mp3,0
4,1551894589571,06/03/2019 17:49:49,1551894589442,0,06/03/2019 17:49:49,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1823.6950000282377,/task/29849/3/asset/Goat.mp3,0
1,1551894669726,06/03/2019 17:51:09,1551894668515,0,06/03/2019 17:51:08,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2531.669999996666,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894673383,06/03/2019 17:51:13,1551894672481,0,06/03/2019 17:51:12,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3962.120000000141,/task/29849/3/asset/Dog.mp3,1
3,1551894675825,06/03/2019 17:51:15,1551894674910,0,06/03/2019 17:51:14,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2426.770000001852,/task/29849/3/asset/Owl.mp3,0
4,1551894678356,06/03/2019 17:51:18,1551894677435,0,06/03/2019 17:51:17,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2521.9150000011723,/task/29849/3/asset/Goat.mp3,0
1,1551894697286,06/03/2019 17:51:37,1551894698451,0,06/03/2019 17:51:38,6138,31,task-jgum,,2280555,5c40dea5f374a90001622c8e,621759,,complete,,5c8007e316fe5f0001f841fb,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5608.155000023544,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
