,id,earning,prolific
1,55cb92aafdf99b45e4bb1165,4,"55cb92aafdf99b45e4bb1165,4.0"
8,571ceeb64ca277000953d1c1,3,"571ceeb64ca277000953d1c1,3.0"
12,57f697c6733f560001b5898b,4,"57f697c6733f560001b5898b,4.0"
15,58740f5faff49500017b9b8e,3,"58740f5faff49500017b9b8e,3.0"
18,58ad509da7d4580001044215,4,"58ad509da7d4580001044215,4.0"
20,590b3b8fc0b47a00019944a9,2,"590b3b8fc0b47a00019944a9,2.0"
22,59220a3e9098900001b55aaa,3,"59220a3e9098900001b55aaa,3.0"
23,59269aac7724de000109190f,4,"59269aac7724de000109190f,4.0"
26,5978142b21bc3d0001a1d2b6,3,"5978142b21bc3d0001a1d2b6,3.0"
31,5a03241a6e1ea9000124dead,3,"5a03241a6e1ea9000124dead,3.0"
32,5a2164f01a1ad3000138f7f9,3,"5a2164f01a1ad3000138f7f9,3.0"
36,5a75c98cae9a0b0001a95926,4,"5a75c98cae9a0b0001a95926,4.0"
37,5a7a0d8df49c9a0001f31b73,3,"5a7a0d8df49c9a0001f31b73,3.0"
39,5af6a7cde066a40001134a37,4,"5af6a7cde066a40001134a37,4.0"
40,5afc14a00b2d5f00015693b4,4,"5afc14a00b2d5f00015693b4,4.0"
41,5afc4671bb36f900018ef1fe,4,"5afc4671bb36f900018ef1fe,4.0"
43,5b4133cd9c2ec600014f2487,3,"5b4133cd9c2ec600014f2487,3.0"
46,5b8db81463096c0001dc1609,4,"5b8db81463096c0001dc1609,4.0"
47,5bd2034025db7b000178ad8a,4,"5bd2034025db7b000178ad8a,4.0"
49,5be376b6a0e7750001a053a4,2,"5be376b6a0e7750001a053a4,2.0"
50,5be607e617a93400011b2b6a,3,"5be607e617a93400011b2b6a,3.0"
52,5bf555e5d944c300012622c7,3,"5bf555e5d944c300012622c7,3.0"
53,5bfa8c4b18430e0001865d19,3,"5bfa8c4b18430e0001865d19,3.0"
54,5bfa9a30975ee0000169849f,3,"5bfa9a30975ee0000169849f,3.0"
58,5c1cee9099de680001e2763c,3,"5c1cee9099de680001e2763c,3.0"
59,5c235c04a74d6400016e4179,3,"5c235c04a74d6400016e4179,3.0"
67,5c3d34e0e0ea820001460b7b,3,"5c3d34e0e0ea820001460b7b,3.0"
69,5c46c60f5aca820001f7d05d,3,"5c46c60f5aca820001f7d05d,3.0"
72,5c4f22451b67050001c0ae68,4,"5c4f22451b67050001c0ae68,4.0"
82,5c8324140322a90016b2558c,3,"5c8324140322a90016b2558c,3.0"
86,5c86516f0d4ac0001296d3c6,3,"5c86516f0d4ac0001296d3c6,3.0"
87,5c86d8c5332a8d0001e9577a,3,"5c86d8c5332a8d0001e9577a,3.0"
88,5c87c7dcd810a700149dce60,4,"5c87c7dcd810a700149dce60,4.0"
93,5c91c1524537020016fb17e9,4,"5c91c1524537020016fb17e9,4.0"
94,5c94b552cb58ab0001b9d859,3,"5c94b552cb58ab0001b9d859,3.0"
95,5c9e65d52707e10001a00524,4,"5c9e65d52707e10001a00524,4.0"
96,5ca606a5614b7b0015be495e,3,"5ca606a5614b7b0015be495e,3.0"
,,123,